2017-10-30: ancient apparition, bane, huskar, legion commander, lich, magnataur, obsidian destroyer, riki, sand king, spirit breaker
2019-03-06: arc warden, doom bringer, ember spirit, necrolyte, pangolier, rattletrap, shadow shaman, troll warlord, ursa, venomancer
2019-03-07: disruptor, faceless void, legion commander, life stealer, phoenix, puck, skeleton king, visage, warlock, witch doctor
2019-03-08: bristleback, dark seer, death prophet, lich, luna, lycan, monkey king, puck, rubick, skeleton king
2019-03-09: dark willow, earth spirit, enigma, lycan, nyx assassin, pudge, rattletrap, techies, tidehunter, visage
2019-03-10: brewmaster, clinkz, puck, rattletrap, razor, rubick, skeleton king, techies, vengefulspirit, zuus
2019-03-11: arc warden, dark willow, doom bringer, enigma, invoker, legion commander, razor, sven, visage, witch doctor
2019-03-12: bloodseeker, chen, crystal maiden, juggernaut, obsidian destroyer, phoenix, rubick, troll warlord, wisp, witch doctor
2019-03-13: axe, broodmother, disruptor, enigma, gyrocopter, mirana, naga siren, shredder, templar assassin, weaver
2019-03-14: chen, dragon knight, enigma, keeper of the light, kunkka, leshrac, phantom lancer, slark, storm spirit, weaver
2019-03-15: bounty hunter, centaur, chen, dark willow, furion, huskar, magnataur, nyx assassin, pugna, silencer
2019-03-16: bloodseeker, death prophet, disruptor, enchantress, jakiro, lina, lycan, queenofpain, techies, undying
2019-03-17: arc warden, bane, bristleback, dragon knight, faceless void, keeper of the light, nevermore, ogre magi, pudge, razor
2019-03-18: chaos knight, clinkz, faceless void, keeper of the light, nyx assassin, phantom lancer, queenofpain, sniper, spectre, windrunner
2019-03-19: ancient apparition, arc warden, lion, omniknight, pangolier, queenofpain, shadow demon, slardar, ursa, vengefulspirit
2019-03-20: chen, faceless void, magnataur, ogre magi, phoenix, sven, techies, troll warlord, ursa, venomancer
2019-03-21: antimage, bane, faceless void, morphling, phantom assassin, puck, pugna, spectre, ursa, zuus
2019-03-22: doom bringer, furion, medusa, night stalker, nyx assassin, ogre magi, puck, storm spirit, treant, zuus
2019-03-23: ancient apparition, antimage, dark seer, earth spirit, ember spirit, life stealer, obsidian destroyer, shredder, warlock, witch doctor
2019-03-24: arc warden, batrider, drow ranger, keeper of the light, legion commander, phantom assassin, pudge, riki, storm spirit, warlock
2019-03-25: bane, batrider, beastmaster, dark willow, ember spirit, invoker, medusa, naga siren, sniper, terrorblade
2019-03-26: abaddon, arc warden, leshrac, lycan, phantom assassin, pugna, slardar, tidehunter, troll warlord, tusk
2019-03-27: alchemist, bane, disruptor, drow ranger, jakiro, lone druid, queenofpain, sven, viper, zuus
2019-03-28: ancient apparition, antimage, bloodseeker, furion, juggernaut, legion commander, lich, treant, witch doctor, zuus
2019-03-29: abaddon, axe, bane, dragon knight, earthshaker, gyrocopter, keeper of the light, night stalker, visage, weaver
2019-03-30: axe, faceless void, lich, oracle, rattletrap, sand king, skywrath mage, slark, techies, weaver
2019-03-31: antimage, doom bringer, kunkka, phantom assassin, puck, rattletrap, slardar, sven, tusk, zuus
2019-04-01: abaddon, antimage, dragon knight, invoker, lion, medusa, morphling, phantom assassin, techies, tiny
2019-04-02: ancient apparition, centaur, earth spirit, kunkka, omniknight, shadow shaman, terrorblade, tidehunter, warlock, weaver
2019-04-03: abyssal underlord, alchemist, bristleback, invoker, juggernaut, pangolier, pugna, silencer, treant, troll warlord
2019-04-04: axe, bristleback, dark willow, jakiro, lion, lone druid, meepo, skywrath mage, viper, warlock
2019-04-05: dragon knight, drow ranger, magnataur, mirana, morphling, skeleton king, storm spirit, tinker, visage, wisp
2019-04-06: jakiro, lich, meepo, phantom lancer, rattletrap, riki, slark, spirit breaker, troll warlord, ursa
2019-04-07: dragon knight, jakiro, legion commander, night stalker, oracle, sand king, skeleton king, slark, sniper, tiny
2019-04-08: lycan, naga siren, oracle, slark, sniper, templar assassin, terrorblade, treant, venomancer, zuus
2019-04-09: abaddon, chaos knight, enigma, jakiro, rattletrap, shadow demon, storm spirit, tidehunter, vengefulspirit, witch doctor
2019-04-10: batrider, brewmaster, earthshaker, elder titan, lina, spirit breaker, terrorblade, tusk, wisp, zuus
2019-04-11: antimage, bounty hunter, clinkz, death prophet, dragon knight, elder titan, leshrac, luna, magnataur, queenofpain
2019-04-12: centaur, disruptor, juggernaut, lion, phoenix, techies, terrorblade, vengefulspirit, weaver, zuus
2019-04-13: beastmaster, bounty hunter, centaur, chen, dark seer, dark willow, lich, meepo, skeleton king, treant
2019-04-14: abyssal underlord, broodmother, lich, night stalker, razor, techies, tiny, venomancer, warlock, witch doctor
2019-04-15: chen, dark seer, juggernaut, leshrac, lich, morphling, necrolyte, razor, undying, visage
2019-04-16: abaddon, ancient apparition, axe, beastmaster, bristleback, earthshaker, ogre magi, omniknight, treant, zuus
2019-04-17: alchemist, disruptor, earthshaker, magnataur, night stalker, rattletrap, riki, techies, tiny, witch doctor
2019-04-18: arc warden, bane, chen, enchantress, gyrocopter, juggernaut, life stealer, meepo, phantom assassin, pugna
2019-04-19: bane, disruptor, medusa, monkey king, ogre magi, phantom lancer, pudge, shadow shaman, treant, visage
2019-04-20: antimage, dark seer, doom bringer, elder titan, lion, lone druid, morphling, night stalker, pudge, razor
2019-04-21: arc warden, axe, bloodseeker, faceless void, gyrocopter, invoker, sand king, shadow demon, venomancer, witch doctor
2019-04-22: abaddon, bloodseeker, disruptor, gyrocopter, invoker, lycan, omniknight, pudge, silencer, warlock
2019-04-23: abaddon, antimage, dragon knight, lycan, morphling, phoenix, sand king, spirit breaker, tusk, wisp
2019-04-24: alchemist, antimage, axe, crystal maiden, elder titan, morphling, razor, slardar, tinker, visage
2019-04-25: abaddon, arc warden, death prophet, doom bringer, lone druid, nyx assassin, phantom lancer, tusk, venomancer, wisp
2019-04-26: clinkz, dazzle, huskar, morphling, nevermore, phoenix, pugna, queenofpain, tinker, venomancer
2019-04-27: doom bringer, gyrocopter, juggernaut, magnataur, monkey king, queenofpain, templar assassin, tidehunter, ursa, visage
2019-04-28: dark seer, dazzle, earth spirit, huskar, jakiro, leshrac, naga siren, phoenix, sniper, undying
2019-04-29: disruptor, enchantress, luna, pangolier, phantom lancer, pudge, pugna, riki, silencer, skeleton king
2019-04-30: abyssal underlord, antimage, brewmaster, crystal maiden, huskar, lina, phantom lancer, shadow demon, treant, witch doctor
2019-05-01: bane, enchantress, lina, lycan, mirana, monkey king, phantom lancer, pudge, pugna, vengefulspirit
2019-05-02: arc warden, clinkz, elder titan, gyrocopter, juggernaut, lich, medusa, ogre magi, slardar, treant
2019-05-03: antimage, bane, bloodseeker, ember spirit, enchantress, lich, naga siren, ogre magi, sand king, tiny
2019-05-04: antimage, centaur, clinkz, crystal maiden, dragon knight, ember spirit, gyrocopter, magnataur, nevermore, shadow shaman
2019-05-05: batrider, clinkz, jakiro, meepo, omniknight, pudge, slark, sniper, warlock, wisp
2019-05-06: axe, bloodseeker, disruptor, ogre magi, omniknight, pangolier, phantom assassin, spirit breaker, ursa, venomancer
2019-05-07: brewmaster, jakiro, leshrac, lina, nevermore, omniknight, queenofpain, rubick, slark, terrorblade
2019-05-08: drow ranger, lion, meepo, necrolyte, night stalker, pangolier, razor, rubick, skeleton king, witch doctor
2019-05-09: bounty hunter, centaur, enchantress, obsidian destroyer, rubick, shadow demon, troll warlord, undying, venomancer, weaver
2019-05-10: death prophet, lion, ogre magi, oracle, shadow demon, skeleton king, tiny, undying, ursa, weaver
2019-05-11: abyssal underlord, disruptor, keeper of the light, medusa, meepo, monkey king, pangolier, skeleton king, undying, weaver
2019-05-12: alchemist, lone druid, lycan, medusa, naga siren, nevermore, omniknight, pugna, shadow shaman, treant
2019-05-13: earth spirit, elder titan, luna, morphling, phantom assassin, phantom lancer, sand king, spectre, warlock, wisp
2019-05-14: ancient apparition, doom bringer, gyrocopter, lina, lone druid, nevermore, shadow demon, skywrath mage, storm spirit, venomancer
2019-05-15: axe, bounty hunter, dazzle, earthshaker, furion, juggernaut, lina, phoenix, razor, silencer
2019-05-16: abaddon, broodmother, centaur, dark willow, enchantress, magnataur, meepo, nyx assassin, obsidian destroyer, troll warlord
2019-05-17: ancient apparition, arc warden, earth spirit, furion, leshrac, pugna, spectre, visage, weaver, winter wyvern
2019-05-18: batrider, dark willow, doom bringer, lich, lycan, rattletrap, slardar, visage, weaver, witch doctor
2019-05-19: axe, bounty hunter, broodmother, centaur, death prophet, earthshaker, kunkka, phoenix, sand king, spirit breaker
2019-05-20: bounty hunter, brewmaster, juggernaut, legion commander, naga siren, ogre magi, shadow shaman, skeleton king, treant, wisp
2019-05-21: bristleback, centaur, earth spirit, faceless void, invoker, lina, phantom lancer, pudge, troll warlord, venomancer
2019-05-22: chaos knight, faceless void, keeper of the light, lich, necrolyte, phoenix, riki, shadow demon, slark, winter wyvern
2019-05-23: abyssal underlord, antimage, arc warden, crystal maiden, doom bringer, meepo, nyx assassin, pudge, sven, weaver
2019-05-24: bane, drow ranger, juggernaut, nevermore, night stalker, omniknight, razor, shadow demon, shadow shaman, wisp
2019-05-25: arc warden, brewmaster, bristleback, chen, furion, luna, lycan, medusa, pugna, weaver
2019-05-26: bloodseeker, crystal maiden, gyrocopter, leshrac, meepo, rubick, sand king, spectre, templar assassin, winter wyvern
2019-05-27: alchemist, bloodseeker, brewmaster, dazzle, earth spirit, leshrac, omniknight, pudge, sand king, sven
2019-05-28: alchemist, batrider, beastmaster, dark seer, dark willow, earthshaker, elder titan, enchantress, naga siren, sven
2019-05-29: doom bringer, elder titan, ember spirit, magnataur, monkey king, ogre magi, omniknight, phantom assassin, visage, wisp
2019-05-30: abyssal underlord, bane, bloodseeker, bounty hunter, disruptor, elder titan, faceless void, queenofpain, sand king, sniper
2019-05-31: dark seer, dark willow, doom bringer, lone druid, necrolyte, ogre magi, rattletrap, tinker, visage, warlock
2019-06-01: antimage, centaur, furion, invoker, leshrac, obsidian destroyer, rubick, sand king, techies, templar assassin
2019-06-02: enigma, huskar, jakiro, legion commander, life stealer, mirana, sand king, terrorblade, troll warlord, winter wyvern
2019-06-03: alchemist, bloodseeker, lich, puck, skywrath mage, spirit breaker, storm spirit, techies, tinker, undying
2019-06-04: ancient apparition, elder titan, ember spirit, naga siren, omniknight, pangolier, riki, slark, tidehunter, windrunner
2019-06-05: batrider, bloodseeker, brewmaster, chen, earth spirit, invoker, necrolyte, obsidian destroyer, puck, skywrath mage
2019-06-06: broodmother, enigma, morphling, necrolyte, ogre magi, omniknight, skeleton king, sven, tidehunter, ursa
2019-06-07: alchemist, antimage, chaos knight, doom bringer, jakiro, leshrac, lion, meepo, shredder, terrorblade
2019-06-08: dark seer, dark willow, doom bringer, jakiro, nevermore, shadow demon, skywrath mage, spirit breaker, tusk, warlock
2019-06-09: beastmaster, brewmaster, doom bringer, dragon knight, faceless void, invoker, necrolyte, nyx assassin, shadow demon, tidehunter
2019-06-10: bloodseeker, chaos knight, doom bringer, invoker, nevermore, pangolier, tidehunter, vengefulspirit, venomancer, winter wyvern
2019-06-11: alchemist, axe, lich, lycan, ogre magi, pudge, rattletrap, sniper, spirit breaker, visage
2019-06-12: ancient apparition, disruptor, lone druid, rattletrap, skeleton king, slark, tidehunter, tinker, venomancer, wisp
2019-06-13: arc warden, centaur, clinkz, dazzle, doom bringer, invoker, naga siren, phoenix, tusk, zuus
2019-06-14: batrider, chaos knight, earth spirit, enchantress, furion, medusa, ogre magi, pangolier, silencer, spirit breaker
2019-06-15: abyssal underlord, bristleback, death prophet, gyrocopter, obsidian destroyer, oracle, pugna, queenofpain, warlock, winter wyvern
2019-06-16: alchemist, earth spirit, legion commander, naga siren, skywrath mage, spirit breaker, terrorblade, tusk, undying, viper
2019-06-17: abyssal underlord, arc warden, bloodseeker, dark seer, dark willow, earth spirit, earthshaker, keeper of the light, nevermore, skywrath mage
2019-06-18: abaddon, bane, bristleback, broodmother, chen, huskar, mirana, monkey king, naga siren, phantom assassin
2019-06-19: bane, disruptor, drow ranger, lich, lone druid, nyx assassin, pangolier, pudge, sniper, winter wyvern
2019-06-20: arc warden, faceless void, leshrac, life stealer, monkey king, necrolyte, pangolier, rattletrap, slardar, sven
2019-06-21: brewmaster, centaur, disruptor, drow ranger, ember spirit, juggernaut, mirana, necrolyte, pugna, spectre
2019-06-22: chaos knight, clinkz, invoker, leshrac, pangolier, puck, skeleton king, tinker, troll warlord, zuus
2019-06-23: alchemist, ancient apparition, bloodseeker, bounty hunter, broodmother, dragon knight, nyx assassin, templar assassin, warlock, winter wyvern
2019-06-24: dark willow, faceless void, lina, lycan, ogre magi, skeleton king, slark, sven, treant, warlock
2019-06-25: chen, dazzle, furion, puck, shadow demon, shadow shaman, spectre, techies, tusk, undying
2019-06-26: clinkz, dazzle, nevermore, pudge, queenofpain, silencer, skeleton king, tinker, tusk, undying
2019-06-27: abyssal underlord, batrider, chen, huskar, legion commander, lina, monkey king, queenofpain, techies, winter wyvern
2019-06-28: bane, broodmother, clinkz, dark seer, doom bringer, dragon knight, juggernaut, lycan, skywrath mage, spirit breaker
2019-06-29: axe, death prophet, elder titan, faceless void, keeper of the light, life stealer, medusa, obsidian destroyer, visage, winter wyvern
2019-06-30: bounty hunter, doom bringer, elder titan, enigma, gyrocopter, huskar, lich, phantom lancer, rubick, tinker
2019-07-01: abaddon, bane, beastmaster, broodmother, chaos knight, enigma, life stealer, mirana, visage, witch doctor
2019-07-02: abyssal underlord, arc warden, batrider, doom bringer, enchantress, lycan, phantom lancer, sven, techies, tinker
2019-07-03: bristleback, chaos knight, legion commander, naga siren, sand king, skywrath mage, spirit breaker, undying, vengefulspirit, zuus
2019-07-04: bloodseeker, earthshaker, faceless void, life stealer, magnataur, shadow demon, slardar, tidehunter, tinker, zuus
2019-07-05: arc warden, furion, lina, lycan, magnataur, monkey king, morphling, naga siren, razor, shadow shaman
2019-07-06: ancient apparition, centaur, clinkz, enigma, gyrocopter, legion commander, templar assassin, terrorblade, tinker, winter wyvern
2019-07-07: centaur, chaos knight, doom bringer, luna, nyx assassin, tiny, undying, weaver, windrunner, winter wyvern
2019-07-08: abaddon, dragon knight, faceless void, keeper of the light, medusa, mirana, razor, skywrath mage, tidehunter, witch doctor
2019-07-09: alchemist, brewmaster, dark seer, doom bringer, dragon knight, medusa, ogre magi, phantom lancer, slardar, sniper
2019-07-10: alchemist, centaur, chaos knight, huskar, lich, naga siren, puck, queenofpain, templar assassin, venomancer
2019-07-11: bane, bristleback, dazzle, earthshaker, huskar, leshrac, sand king, shadow shaman, shredder, winter wyvern
2019-07-12: abaddon, antimage, beastmaster, kunkka, meepo, necrolyte, nevermore, pugna, skeleton king, ursa
2019-07-13: beastmaster, chaos knight, enchantress, oracle, rattletrap, treant, venomancer, warlock, weaver, zuus
2019-07-14: bounty hunter, brewmaster, death prophet, dragon knight, ember spirit, meepo, puck, pudge, pugna, techies
2019-07-15: abaddon, bloodseeker, earth spirit, ember spirit, nevermore, sand king, silencer, tidehunter, tusk, windrunner
2019-07-16: antimage, bloodseeker, drow ranger, earthshaker, kunkka, monkey king, phantom lancer, slark, troll warlord, tusk
2019-07-17: broodmother, clinkz, furion, jakiro, juggernaut, phoenix, silencer, slark, windrunner, wisp
2019-07-18: earthshaker, furion, gyrocopter, life stealer, naga siren, slardar, slark, tinker, vengefulspirit, zuus
2019-07-19: centaur, dragon knight, jakiro, meepo, naga siren, queenofpain, tidehunter, tiny, windrunner, witch doctor
2019-07-20: brewmaster, disruptor, earth spirit, elder titan, kunkka, lycan, meepo, oracle, phantom assassin, weaver
2019-07-21: abyssal underlord, beastmaster, dragon knight, magnataur, shredder, skywrath mage, techies, tiny, viper, wisp
2019-07-22: arc warden, beastmaster, chen, life stealer, meepo, nevermore, night stalker, obsidian destroyer, ursa, weaver
2019-07-23: bounty hunter, dark seer, dragon knight, earth spirit, keeper of the light, leshrac, nyx assassin, phantom lancer, pugna, visage
2019-07-24: axe, crystal maiden, dark seer, dazzle, gyrocopter, jakiro, phantom lancer, queenofpain, silencer, terrorblade
2019-07-25: abyssal underlord, bounty hunter, centaur, disruptor, earthshaker, omniknight, shadow demon, skeleton king, sven, zuus
2019-07-26: arc warden, bristleback, dark willow, meepo, ogre magi, puck, sniper, sven, ursa, visage
2019-07-27: bane, brewmaster, chaos knight, doom bringer, enchantress, phoenix, silencer, skywrath mage, templar assassin, witch doctor
2019-07-28: bane, batrider, earthshaker, juggernaut, lone druid, shadow demon, skeleton king, techies, troll warlord, viper
2019-07-29: bounty hunter, dark seer, disruptor, earthshaker, life stealer, monkey king, tiny, undying, winter wyvern, zuus
2019-07-30: arc warden, crystal maiden, dark willow, drow ranger, leshrac, medusa, rubick, skeleton king, weaver, winter wyvern
2019-07-31: broodmother, dazzle, doom bringer, enchantress, faceless void, jakiro, phantom lancer, spectre, terrorblade, vengefulspirit
2019-08-01: earth spirit, kunkka, legion commander, lina, lone druid, puck, rubick, storm spirit, tidehunter, zuus
2019-08-02: abyssal underlord, lion, necrolyte, night stalker, queenofpain, riki, rubick, warlock, weaver, wisp
2019-08-03: axe, centaur, clinkz, death prophet, life stealer, lone druid, phoenix, vengefulspirit, visage, warlock
2019-08-04: axe, dark seer, ember spirit, kunkka, legion commander, nevermore, omniknight, pugna, sven, techies
2019-08-05: arc warden, batrider, earthshaker, ember spirit, enigma, faceless void, naga siren, spectre, tiny, zuus
2019-08-06: clinkz, crystal maiden, huskar, life stealer, lion, razor, sand king, tidehunter, tinker, witch doctor
2019-08-07: death prophet, magnataur, naga siren, phantom lancer, phoenix, riki, sand king, shredder, skeleton king, storm spirit
2019-08-08: ancient apparition, doom bringer, earthshaker, life stealer, ogre magi, skywrath mage, storm spirit, tinker, tiny, treant
2019-08-09: arc warden, enchantress, huskar, lycan, morphling, nyx assassin, oracle, shadow shaman, skywrath mage, storm spirit
2019-08-10: abyssal underlord, gyrocopter, lich, phantom lancer, phoenix, razor, sven, ursa, viper, visage
2019-08-11: alchemist, chaos knight, disruptor, night stalker, shredder, tidehunter, troll warlord, vengefulspirit, weaver, winter wyvern
2019-08-12: abyssal underlord, bane, dark seer, juggernaut, pugna, rattletrap, shadow shaman, slark, storm spirit, witch doctor
2019-08-13: abaddon, death prophet, enigma, jakiro, omniknight, razor, rubick, terrorblade, tinker, venomancer
2019-08-14: ancient apparition, broodmother, dazzle, jakiro, keeper of the light, magnataur, shadow shaman, storm spirit, tidehunter, troll warlord
2019-08-15: bounty hunter, crystal maiden, huskar, legion commander, naga siren, rubick, shadow shaman, slardar, tinker, vengefulspirit
2019-08-16: alchemist, chaos knight, disruptor, doom bringer, drow ranger, invoker, night stalker, nyx assassin, pudge, tiny
2019-08-17: beastmaster, dark seer, dark willow, disruptor, elder titan, enchantress, leshrac, lone druid, tidehunter, tusk
2019-08-18: alchemist, bounty hunter, kunkka, ogre magi, phantom lancer, slardar, sniper, spirit breaker, troll warlord, viper
2019-08-19: alchemist, chen, clinkz, invoker, kunkka, magnataur, meepo, pudge, treant, witch doctor
2019-08-20: abaddon, arc warden, bloodseeker, centaur, dark seer, lion, meepo, necrolyte, obsidian destroyer, queenofpain
2019-08-21: antimage, chaos knight, death prophet, keeper of the light, medusa, nevermore, obsidian destroyer, omniknight, tidehunter, venomancer
2019-08-22: bounty hunter, ember spirit, faceless void, keeper of the light, leshrac, lina, medusa, oracle, slark, spirit breaker
2019-08-23: bounty hunter, chaos knight, dark seer, death prophet, life stealer, lion, ogre magi, pudge, sniper, viper
2019-08-24: ancient apparition, bane, chaos knight, dazzle, faceless void, furion, lich, spirit breaker, storm spirit, undying
2019-08-25: dragon knight, leshrac, morphling, obsidian destroyer, pangolier, shadow demon, shredder, silencer, storm spirit, wisp
2019-08-26: bristleback, crystal maiden, death prophet, kunkka, life stealer, mirana, naga siren, rattletrap, spirit breaker, troll warlord
2019-08-27: ancient apparition, dragon knight, drow ranger, enchantress, enigma, lone druid, medusa, oracle, phantom lancer, winter wyvern
2019-08-28: centaur, dazzle, dragon knight, ember spirit, jakiro, lion, necrolyte, rubick, shadow shaman, spectre
2019-08-29: ancient apparition, chen, omniknight, rattletrap, shadow shaman, slardar, techies, tiny, treant, winter wyvern
2019-08-30: chaos knight, disruptor, life stealer, morphling, phantom lancer, pugna, treant, troll warlord, visage, weaver
2019-08-31: earth spirit, luna, necrolyte, nevermore, silencer, sniper, storm spirit, templar assassin, tiny, venomancer
2019-09-01: alchemist, centaur, chaos knight, life stealer, lina, lion, nyx assassin, shadow shaman, slark, vengefulspirit
2019-09-02: antimage, batrider, beastmaster, disruptor, ember spirit, life stealer, nevermore, silencer, tidehunter, winter wyvern
2019-09-03: brewmaster, chaos knight, death prophet, gyrocopter, medusa, pugna, sand king, templar assassin, undying, vengefulspirit
2019-09-04: chen, keeper of the light, lina, lion, necrolyte, shadow demon, slardar, spirit breaker, treant, troll warlord
2019-09-05: arc warden, broodmother, centaur, dark seer, keeper of the light, mirana, nyx assassin, shredder, troll warlord, viper
2019-09-06: abyssal underlord, chaos knight, earthshaker, ember spirit, invoker, lone druid, necrolyte, slardar, treant, warlock
2019-09-07: brewmaster, dark willow, enigma, keeper of the light, lone druid, puck, queenofpain, shredder, slark, zuus
2019-09-08: abyssal underlord, beastmaster, brewmaster, bristleback, chen, doom bringer, phantom assassin, rattletrap, slark, warlock
2019-09-09: ancient apparition, arc warden, drow ranger, faceless void, lich, luna, magnataur, riki, shredder, tiny
2019-09-10: abyssal underlord, bristleback, broodmother, dark willow, luna, meepo, nevermore, phantom lancer, shadow shaman, witch doctor
2019-09-11: alchemist, bounty hunter, brewmaster, chen, ember spirit, faceless void, furion, queenofpain, tinker, venomancer
2019-09-12: death prophet, ogre magi, spectre, spirit breaker, storm spirit, templar assassin, tidehunter, vengefulspirit, winter wyvern, witch doctor
2019-09-13: ancient apparition, drow ranger, elder titan, lion, naga siren, spectre, spirit breaker, storm spirit, ursa, visage
2019-09-14: alchemist, ancient apparition, chen, earthshaker, lone druid, luna, magnataur, monkey king, pangolier, tidehunter
2019-09-15: alchemist, axe, chaos knight, enchantress, lina, meepo, night stalker, omniknight, rattletrap, spirit breaker
2019-09-16: dark willow, death prophet, juggernaut, morphling, rubick, silencer, sniper, storm spirit, tinker, undying
2019-09-17: abyssal underlord, dazzle, elder titan, life stealer, medusa, monkey king, necrolyte, pudge, silencer, spectre
2019-09-18: alchemist, antimage, crystal maiden, leshrac, lion, monkey king, pangolier, rubick, spectre, tinker
2019-09-19: arc warden, lion, night stalker, puck, pudge, rattletrap, rubick, skywrath mage, tiny, wisp
2019-09-20: ancient apparition, faceless void, lone druid, mirana, monkey king, phoenix, puck, rubick, slark, sniper
2019-09-21: chaos knight, dazzle, furion, gyrocopter, keeper of the light, lion, oracle, puck, pugna, viper
2019-09-22: beastmaster, dazzle, earth spirit, enchantress, enigma, keeper of the light, leshrac, medusa, rubick, skeleton king
2019-09-23: abaddon, broodmother, chen, crystal maiden, dragon knight, ember spirit, enchantress, huskar, skywrath mage, winter wyvern
2019-09-24: life stealer, lina, magnataur, naga siren, omniknight, rubick, silencer, sven, templar assassin, terrorblade
2019-09-25: dark willow, earthshaker, faceless void, gyrocopter, lion, monkey king, morphling, techies, tusk, windrunner
2019-09-26: abyssal underlord, alchemist, bane, earth spirit, ember spirit, tiny, tusk, ursa, vengefulspirit, viper
2019-09-27: alchemist, dark willow, earth spirit, legion commander, phantom lancer, pudge, spectre, treant, undying, windrunner
2019-09-28: axe, dark willow, huskar, meepo, monkey king, phantom lancer, riki, techies, troll warlord, windrunner
2019-09-29: broodmother, dazzle, necrolyte, oracle, pangolier, rattletrap, techies, tiny, venomancer, viper
2019-09-30: alchemist, brewmaster, chen, invoker, medusa, riki, rubick, sand king, ursa, venomancer
2019-10-01: abyssal underlord, batrider, clinkz, dark willow, ember spirit, morphling, naga siren, pangolier, phantom lancer, silencer
2019-10-02: batrider, chen, enchantress, enigma, lone druid, sand king, shadow shaman, skywrath mage, slark, troll warlord
2019-10-03: ancient apparition, batrider, centaur, clinkz, night stalker, phoenix, silencer, skeleton king, skywrath mage, techies
2019-10-04: ancient apparition, bounty hunter, dark seer, death prophet, leshrac, nevermore, phoenix, queenofpain, sand king, warlock
2019-10-05: bristleback, broodmother, clinkz, lina, magnataur, meepo, monkey king, obsidian destroyer, rattletrap, rubick
2019-10-06: arc warden, bounty hunter, ember spirit, gyrocopter, lina, obsidian destroyer, queenofpain, riki, viper, zuus
2019-10-07: leshrac, monkey king, nyx assassin, pugna, rattletrap, rubick, silencer, venomancer, wisp, witch doctor
2019-10-08: axe, enchantress, gyrocopter, huskar, invoker, luna, nevermore, ogre magi, shredder, windrunner
2019-10-09: arc warden, bane, chen, doom bringer, invoker, luna, medusa, phantom lancer, phoenix, zuus
2019-10-10: alchemist, broodmother, elder titan, keeper of the light, lion, phantom lancer, silencer, slark, venomancer, winter wyvern
2019-10-11: brewmaster, dark willow, dragon knight, keeper of the light, luna, night stalker, phantom lancer, phoenix, silencer, venomancer
2019-10-12: ancient apparition, death prophet, invoker, leshrac, lion, naga siren, omniknight, templar assassin, ursa, winter wyvern
2019-10-13: axe, bloodseeker, bristleback, death prophet, doom bringer, dragon knight, furion, luna, omniknight, pudge
2019-10-14: beastmaster, bounty hunter, dragon knight, monkey king, night stalker, queenofpain, sand king, shredder, spectre, zuus
2019-10-15: antimage, brewmaster, dazzle, drow ranger, enigma, mirana, obsidian destroyer, skeleton king, slardar, windrunner
2019-10-16: alchemist, crystal maiden, dark willow, enigma, huskar, lone druid, rattletrap, storm spirit, wisp, zuus
2019-10-17: arc warden, axe, batrider, brewmaster, jakiro, kunkka, shredder, troll warlord, undying, weaver
2019-10-18: centaur, lone druid, nyx assassin, phantom lancer, rattletrap, riki, rubick, storm spirit, undying, witch doctor
2019-10-19: dark willow, faceless void, lone druid, luna, lycan, magnataur, rubick, windrunner, wisp, zuus
2019-10-20: bane, furion, lich, luna, mirana, phoenix, queenofpain, rattletrap, skywrath mage, sven
2019-10-21: abaddon, ancient apparition, chaos knight, earth spirit, invoker, meepo, monkey king, ogre magi, razor, witch doctor
2019-10-22: broodmother, elder titan, ember spirit, lion, morphling, nevermore, omniknight, skeleton king, slardar, templar assassin
2019-10-23: ancient apparition, broodmother, centaur, dark willow, disruptor, dragon knight, earth spirit, kunkka, oracle, queenofpain
2019-10-24: abyssal underlord, bane, brewmaster, bristleback, lion, meepo, naga siren, techies, templar assassin, ursa
2019-10-25: axe, centaur, clinkz, earth spirit, leshrac, shadow shaman, slark, terrorblade, tusk, winter wyvern
2019-10-26: beastmaster, crystal maiden, drow ranger, kunkka, legion commander, lich, naga siren, shredder, skywrath mage, vengefulspirit
2019-10-27: abaddon, broodmother, gyrocopter, leshrac, life stealer, lion, monkey king, slark, techies, witch doctor
2019-10-28: chen, crystal maiden, dark seer, kunkka, lion, luna, ogre magi, omniknight, pugna, razor
2019-10-29: arc warden, disruptor, furion, gyrocopter, pudge, storm spirit, treant, troll warlord, vengefulspirit, weaver
2019-10-30: abyssal underlord, beastmaster, clinkz, crystal maiden, earthshaker, lina, nevermore, queenofpain, terrorblade, winter wyvern
2019-10-31: abaddon, doom bringer, huskar, lycan, rubick, slardar, techies, tidehunter, troll warlord, tusk
2019-11-01: ancient apparition, bane, bloodseeker, crystal maiden, kunkka, leshrac, lich, phantom lancer, puck, zuus
2019-11-02: disruptor, earthshaker, huskar, lion, luna, morphling, phoenix, queenofpain, tidehunter, ursa
2019-11-03: antimage, clinkz, drow ranger, elder titan, lycan, nevermore, obsidian destroyer, pangolier, slark, winter wyvern
2019-11-04: abyssal underlord, alchemist, doom bringer, gyrocopter, riki, shredder, silencer, spirit breaker, tidehunter, weaver
2019-11-05: brewmaster, clinkz, disruptor, gyrocopter, lion, meepo, omniknight, tiny, warlock, windrunner
2019-11-06: bounty hunter, brewmaster, chen, earthshaker, mirana, pangolier, sand king, shadow shaman, tinker, treant
